isin,name,status,exists_in_funds_v3,csv_source,csv_non_empty_fields_count,missing_only_fields_count,conflict_fields_count,already_present_fields_count,missing_only_fields,conflict_fields,protected_present_fields,reason
BE0943877671,DPAM B - Bonds Eur Government B Cap,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,145,0,1,124,,quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.version | data_quality.has_gaps | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.primary_region | derived.rf_duration_bucket | derived.rf_duration_source | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.equity_style.market_cap.giant | ms.equity_style.market_cap.large | ms.equity_style.market_cap.micro | ms.equity_style.market_cap.mid | ms.equity_style.market_cap.small | ms.equity_style.style.blend | ms.equity_style.style.growth | ms.equity_style.style.value | ms.fixed_income.coupon_allocation.0 | ms.fixed_income.coupon_allocation.0_4 | ms.fixed_income.coupon_allocation.4_6 | ms.fixed_income.coupon_allocation.over_6 | ms.fixed_income.credit_quality.a | ms.fixed_income.credit_quality.aa | ms.fixed_income.credit_quality.aaa | ms.fixed_income.credit_quality.b | ms.fixed_income.credit_quality.bb | ms.fixed_income.credit_quality.bbb | ms.fixed_income.credit_quality.below_b | ms.fixed_income.credit_quality.not_rated | ms.fixed_income.maturity_allocation.1_3 | ms.fixed_income.maturity_allocation.3_5 | ms.fixed_income.maturity_allocation.5_7 | ms.fixed_income.maturity_allocation.7_10 | ms.fixed_income.maturity_allocation.over_10 | ms.holdings_stats.holdings_count_bond | ms.holdings_stats.holdings_count_equity | ms.holdings_stats.top10_weight,One or more compared scalar fields differ; manual review required before any write.
BE0946564383,DPAM B - Equities NewGems Sustainable B Cap,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,217,0,1,194,,quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.commercial_type | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.fixed_income_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_tags | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.vehicle_complexity | classification_v2.version | data_quality.has_gaps | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.asia | derived.portfolio_exposure.equity_regions_total.asia_emerging | derived.portfolio_exposure.equity_regions_total.developed_asia | derived.portfolio_exposure.equity_regions_total.europe_emerging | derived.portfolio_exposure.equity_regions_total.europe_ex_euro | derived.portfolio_exposure.equity_regions_total.eurozone | derived.portfolio_exposure.equity_regions_total.latin_america | derived.portfolio_exposure.equity_regions_total.middle_east | derived.portfolio_exposure.equity_regions_total.other | derived.portfolio_exposure.equity_regions_total.united_kingdom | derived.portfolio_exposure.equity_regions_total.united_states | derived.portfolio_exposure.equity_sectors_total.basic_materials | derived.portfolio_exposure.equity_sectors_total.communication_services | derived.portfolio_exposure.equity_sectors_total.consumer_cyclical | derived.portfolio_exposure.equity_sectors_total.consumer_defensive | derived.portfolio_exposure.equity_sectors_total.financial_services | derived.portfolio_exposure.equity_sectors_total.healthcare | derived.portfolio_exposure.equity_sectors_total.industrials | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.portfolio_exposure.equity_sectors_total.technology | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.size_bucket | derived.style_bias.equity.size_weights_total.large | derived.style_bias.equity.size_weights_total.mid | derived.style_bias.equity.size_weights_total.small | derived.style_bias.equity.weight_total | derived.subcategories | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar,One or more compared scalar fields differ; manual review required before any write.
BE0947853660,DPAM B - Equities US Dividend Sustainable B EUR Cap,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,171,0,2,146,,quality.last_repaired_at | quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_tags | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.vehicle_complexity | classification_v2.version | data_quality.has_gaps | data_quality.has_outliers | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.united_states | derived.portfolio_exposure.equity_sectors_total.basic_materials | derived.portfolio_exposure.equity_sectors_total.communication_services | derived.portfolio_exposure.equity_sectors_total.consumer_cyclical | derived.portfolio_exposure.equity_sectors_total.consumer_defensive | derived.portfolio_exposure.equity_sectors_total.financial_services | derived.portfolio_exposure.equity_sectors_total.healthcare | derived.portfolio_exposure.equity_sectors_total.industrials | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.portfolio_exposure.equity_sectors_total.technology | derived.portfolio_exposure.equity_sectors_total.utilities | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.size_bucket | derived.style_bias.equity.size_weights_total.large | derived.style_bias.equity.size_weights_total.mid | derived.style_bias.equity.size_weights_total.small | derived.style_bias.equity.weight_total | derived.subcategories | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.retrocession_source | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.costs.management_fee | ms.equity_style.market_cap.giant | ms.equity_style.market_cap.large | ms.equity_style.market_cap.micro | ms.equity_style.market_cap.mid | ms.equity_style.market_cap.small | ms.holdings_stats.holdings_count_bond | ms.holdings_stats.holdings_count_equity | ms.holdings_stats.top10_weight | ms.objective,One or more compared scalar fields differ; manual review required before any write.
BE6213829094,DPAM B - Real Estate Europe Dividend Sustainable B Cap,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,167,0,1,148,,quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.version | data_quality.has_gaps | data_quality.has_outliers | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_class_detail | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.europe_ex_euro | derived.portfolio_exposure.equity_regions_total.eurozone | derived.portfolio_exposure.equity_regions_total.other | derived.portfolio_exposure.equity_regions_total.united_kingdom | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.size_bucket | derived.style_bias.equity.size_weights_total.large | derived.style_bias.equity.size_weights_total.mid | derived.style_bias.equity.size_weights_total.small | derived.style_bias.equity.weight_total | derived.subcategories | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.equity_style.market_cap.giant | ms.equity_style.market_cap.large | ms.equity_style.market_cap.micro | ms.equity_style.market_cap.mid | ms.equity_style.market_cap.small | ms.equity_style.style.blend | ms.equity_style.style.growth | ms.equity_style.style.value | ms.fixed_income.coupon_allocation.0 | ms.fixed_income.coupon_allocation.0_4 | ms.fixed_income.coupon_allocation.4_6 | ms.fixed_income.coupon_allocation.over_6 | ms.fixed_income.credit_quality.a | ms.fixed_income.credit_quality.aa | ms.fixed_income.credit_quality.aaa,One or more compared scalar fields differ; manual review required before any write.
DE0005318406,DWS ESG Stiftungsfonds LD,SKIP_ALREADY_COMPLETE,True,data/work/fondos_absolutamente_todos_los_campos.csv,192,0,0,174,,,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.version | data_quality.has_gaps | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.australasia | derived.portfolio_exposure.equity_regions_total.canada | derived.portfolio_exposure.equity_regions_total.eurozone | derived.portfolio_exposure.equity_regions_total.japan | derived.portfolio_exposure.equity_regions_total.other | derived.portfolio_exposure.equity_regions_total.united_kingdom | derived.portfolio_exposure.equity_regions_total.united_states | derived.portfolio_exposure.equity_sectors_total.basic_materials | derived.portfolio_exposure.equity_sectors_total.communication_services | derived.portfolio_exposure.equity_sectors_total.consumer_cyclical | derived.portfolio_exposure.equity_sectors_total.consumer_defensive | derived.portfolio_exposure.equity_sectors_total.energy | derived.portfolio_exposure.equity_sectors_total.financial_services | derived.portfolio_exposure.equity_sectors_total.healthcare | derived.portfolio_exposure.equity_sectors_total.industrials | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.portfolio_exposure.equity_sectors_total.technology | derived.portfolio_exposure.equity_sectors_total.utilities | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.size_bucket | derived.style_bias.equity.style | derived.style_bias.equity.style_box_cell | derived.style_bias.equity.weight_total | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.equity_style.market_cap.giant | ms.equity_style.market_cap.large | ms.equity_style.market_cap.micro | ms.equity_style.market_cap.mid | ms.equity_style.market_cap.small | ms.equity_style.style.blend,Compared CSV values are already present or CSV has no safe missing-only enrichment.
DE0008490962,DWS Deutschland LC,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,186,0,2,164,,quality.last_repaired_at | quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.commercial_type | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_tags | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.vehicle_complexity | classification_v2.version | data_quality.has_gaps | data_quality.has_outliers | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.eurozone | derived.portfolio_exposure.equity_regions_total.united_states | derived.portfolio_exposure.equity_sectors_total.basic_materials | derived.portfolio_exposure.equity_sectors_total.communication_services | derived.portfolio_exposure.equity_sectors_total.consumer_cyclical | derived.portfolio_exposure.equity_sectors_total.financial_services | derived.portfolio_exposure.equity_sectors_total.healthcare | derived.portfolio_exposure.equity_sectors_total.industrials | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.portfolio_exposure.equity_sectors_total.technology | derived.portfolio_exposure.equity_sectors_total.utilities | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.size_bucket | derived.style_bias.equity.size_weights_total.large | derived.style_bias.equity.size_weights_total.mid | derived.style_bias.equity.size_weights_total.small | derived.style_bias.equity.style | derived.style_bias.equity.style_box_cell | derived.style_bias.equity.style_weights_total.blend | derived.style_bias.equity.weight_total | derived.subcategories | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.equity_style.market_cap.giant | ms.equity_style.market_cap.large | ms.equity_style.market_cap.micro | ms.equity_style.market_cap.mid,One or more compared scalar fields differ; manual review required before any write.
DE000A0X7541,Acatis Value Event Fonds A,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,189,0,1,170,,quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.version | data_quality.has_gaps | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.asia_emerging | derived.portfolio_exposure.equity_regions_total.canada | derived.portfolio_exposure.equity_regions_total.europe_ex_euro | derived.portfolio_exposure.equity_regions_total.eurozone | derived.portfolio_exposure.equity_regions_total.latin_america | derived.portfolio_exposure.equity_regions_total.other | derived.portfolio_exposure.equity_regions_total.united_kingdom | derived.portfolio_exposure.equity_regions_total.united_states | derived.portfolio_exposure.equity_sectors_total.basic_materials | derived.portfolio_exposure.equity_sectors_total.communication_services | derived.portfolio_exposure.equity_sectors_total.consumer_cyclical | derived.portfolio_exposure.equity_sectors_total.consumer_defensive | derived.portfolio_exposure.equity_sectors_total.financial_services | derived.portfolio_exposure.equity_sectors_total.healthcare | derived.portfolio_exposure.equity_sectors_total.industrials | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.portfolio_exposure.equity_sectors_total.technology | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.size_bucket | derived.style_bias.equity.style | derived.style_bias.equity.style_box_cell | derived.style_bias.equity.weight_total | derived.subcategories | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.equity_style.market_cap.giant | ms.equity_style.market_cap.large | ms.equity_style.market_cap.micro | ms.equity_style.market_cap.mid | ms.equity_style.market_cap.small | ms.equity_style.style.blend,One or more compared scalar fields differ; manual review required before any write.
DE000DWS17J0,DWS ESG Dynamic Opportunities LC,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,146,0,1,126,,quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.version | data_quality.has_gaps | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.canada | derived.portfolio_exposure.equity_regions_total.eurozone | derived.portfolio_exposure.equity_regions_total.japan | derived.portfolio_exposure.equity_regions_total.other | derived.portfolio_exposure.equity_regions_total.united_kingdom | derived.portfolio_exposure.equity_regions_total.united_states | derived.portfolio_exposure.equity_sectors_total.basic_materials | derived.portfolio_exposure.equity_sectors_total.communication_services | derived.portfolio_exposure.equity_sectors_total.consumer_cyclical | derived.portfolio_exposure.equity_sectors_total.financial_services | derived.portfolio_exposure.equity_sectors_total.healthcare | derived.portfolio_exposure.equity_sectors_total.industrials | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.portfolio_exposure.equity_sectors_total.technology | derived.portfolio_exposure.equity_sectors_total.utilities | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.weight_total | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.holdings_stats.holdings_count_bond | ms.holdings_stats.holdings_count_equity | ms.holdings_stats.top10_weight | ms.portfolio.as_of | ms.portfolio.asset_allocation.bond | ms.portfolio.asset_allocation.cash | ms.portfolio.asset_allocation.equity | ms.portfolio.asset_allocation.other | ms.rating_stars | ms.regions.detail.canada | ms.regions.detail.eurozone | ms.regions.detail.japan,One or more compared scalar fields differ; manual review required before any write.
ES0110407006,Gestión Boutique VI Argos FI,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,186,0,1,167,,quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.version | data_quality.has_gaps | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.portfolio_exposure.equity_regions_total.australasia | derived.portfolio_exposure.equity_regions_total.canada | derived.portfolio_exposure.equity_regions_total.europe_ex_euro | derived.portfolio_exposure.equity_regions_total.eurozone | derived.portfolio_exposure.equity_regions_total.japan | derived.portfolio_exposure.equity_regions_total.middle_east | derived.portfolio_exposure.equity_regions_total.other | derived.portfolio_exposure.equity_regions_total.united_kingdom | derived.portfolio_exposure.equity_regions_total.united_states | derived.portfolio_exposure.equity_sectors_total.basic_materials | derived.portfolio_exposure.equity_sectors_total.communication_services | derived.portfolio_exposure.equity_sectors_total.consumer_cyclical | derived.portfolio_exposure.equity_sectors_total.financial_services | derived.portfolio_exposure.equity_sectors_total.industrials | derived.portfolio_exposure.equity_sectors_total.real_estate | derived.portfolio_exposure.equity_sectors_total.technology | derived.primary_region | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | derived.style_bias.equity.weight_total | derived.subcategories | derived.top_sector | derived.top_sector_weight | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.equity_style.market_cap.giant | ms.equity_style.market_cap.large | ms.equity_style.market_cap.micro | ms.equity_style.market_cap.mid | ms.equity_style.market_cap.small | ms.equity_style.style.blend | ms.equity_style.style.growth | ms.equity_style.style.value | ms.fixed_income.coupon_allocation.0 | ms.fixed_income.coupon_allocation.0_4,One or more compared scalar fields differ; manual review required before any write.
ES0111166031,Atl Capital Corto Plazo A FI,REVIEW_CONFLICT,True,data/work/fondos_absolutamente_todos_los_campos.csv,126,0,1,105,,quality.sectors_normalized_at,classification_v2.alternative_bucket | classification_v2.asset_subtype | classification_v2.asset_type | classification_v2.classification_confidence | classification_v2.complexity_flag | classification_v2.convertibles_profile | classification_v2.equity_style_box | classification_v2.fi_credit_bucket | classification_v2.fi_duration_bucket | classification_v2.fi_type | classification_v2.is_index_like | classification_v2.is_sector_fund | classification_v2.is_suitable_low_risk | classification_v2.is_thematic | classification_v2.liquidity_profile | classification_v2.market_cap_bias | classification_v2.raw_name | classification_v2.region_primary | classification_v2.risk_bucket | classification_v2.sector_concentration | classification_v2.sector_focus | classification_v2.strategy_type | classification_v2.suitability_version | classification_v2.version | data_quality.history_ok | data_quality.std_perf_ok | derived.asset_class | derived.asset_subtype | derived.category | derived.confidence | derived.is_index_like | derived.is_sector_fund | derived.is_thematic | derived.portfolio_exposure.asset_allocation_total.bond | derived.portfolio_exposure.asset_allocation_total.cash | derived.portfolio_exposure.asset_allocation_total.equity | derived.portfolio_exposure.asset_allocation_total.other | derived.primary_region | derived.rf_duration_bucket | derived.rf_duration_source | derived.ruleset_version | derived.source.inputs.category | derived.source.inputs.name | derived.source.method | derived.source.rationale | manual.costs.retrocession | manual.costs.ter | manual.costs.ter_source | metadata.history_source | ms.category_morningstar | ms.costs.management_fee | ms.fixed_income.coupon_allocation.0 | ms.fixed_income.coupon_allocation.0_4 | ms.fixed_income.coupon_allocation.4_6 | ms.fixed_income.coupon_allocation.over_6 | ms.fixed_income.credit_quality.a | ms.fixed_income.credit_quality.aa | ms.fixed_income.credit_quality.aaa | ms.fixed_income.credit_quality.b | ms.fixed_income.credit_quality.bb | ms.fixed_income.credit_quality.bbb | ms.fixed_income.credit_quality.below_b | ms.fixed_income.credit_quality.not_rated | ms.fixed_income.maturity_allocation.1_3 | ms.fixed_income.maturity_allocation.3_5 | ms.fixed_income.maturity_allocation.5_7 | ms.fixed_income.maturity_allocation.7_10 | ms.fixed_income.maturity_allocation.over_10 | ms.holdings_stats.holdings_count_bond | ms.holdings_stats.holdings_count_equity | ms.holdings_stats.top10_weight | ms.objective | ms.portfolio.as_of | ms.portfolio.asset_allocation.bond | ms.portfolio.asset_allocation.cash | ms.portfolio.asset_allocation.equity | ms.portfolio.asset_allocation.other | ms.report_date | portfolio_exposure_v2.concentration_metrics.top_10_holdings_weight | portfolio_exposure_v2.economic_exposure.bond,One or more compared scalar fields differ; manual review required before any write.
