isin,name,asset_type,asset_subtype,risk_bucket,confidence,has_cv2,has_pev2,has_asset_mix,has_eco_expo,has_ms,has_derived,mix_scale,eco_scale,mix_equity,mix_bond,mix_cash,mix_other,mix_sum,eco_equity,eco_bond,eco_cash,eco_other,eco_sum,retrocession,issue_count,top_severity
BE0943877671,DPAM B - Bonds Eur Government B Cap,FIXED_INCOME,GOVERNMENT_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
BE0946564383,DPAM B - Equities NewGems Sustainable B Cap,equity,THEMATIC_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.998,0,0.002,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
BE0947853660,DPAM B - Equities US Dividend Sustainable B EUR Cap,equity,THEMATIC_EQUITY,HIGH,0.87,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9859,0,0.0141,0,1.0000,100,0,0,0,100.0000,0.8,1,BLOCKER
BE6213829094,DPAM B - Real Estate Europe Dividend Sustainable B Cap,REAL_ESTATE,UNKNOWN,HIGH,0.98,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,0,0,100,100.0000,0.7,1,MEDIUM
DE0005318406,DWS ESG Stiftungsfonds LD,MIXED,CONSERVATIVE_ALLOCATION,LOW,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,20,80,0,0,100.0000,0,0,OK
DE0008490962,DWS Deutschland LC,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9637,0,0.0363,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
DE000A0X7541,Acatis Value Event Fonds A,MIXED,FLEXIBLE_ALLOCATION,HIGH,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0.59,0,OK
DE000DWS17J0,DWS ESG Dynamic Opportunities LC,MIXED,AGGRESSIVE_ALLOCATION,HIGH,0.88,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,80,20,0,0,100.0000,0,0,OK
ES0110407006,Gestión Boutique VI Argos FI,MIXED,FLEXIBLE_ALLOCATION,HIGH,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0111166031,Atl Capital Corto Plazo A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0112231016,Avantage Fund B FI,allocation,FLEXIBLE_ALLOCATION,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.7453,0.2286,0.0261,0,1.0000,50,50,0,0,100.0000,0.3,1,BLOCKER
ES0112602000,Azvalor Managers FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.8533,0,0.1382,0.0084,0.9999,100,0,0,0,100.0000,0,1,BLOCKER
ES0114633003,Panda Agriculture & Water Fund FI,equity,THEMATIC_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9195,0,0.0805,0,1.0000,100,0,0,0,100.0000,0.95,1,BLOCKER
ES0114904008,Brightgate Focus A FI,MIXED,FLEXIBLE_ALLOCATION,HIGH,0.93,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0116419005,Cartera Renta Fija Horizonte 2026 FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.7391,0.2407,0.0202,1.0000,0,100,0,0,100.0000,0.52,1,BLOCKER
ES0116567035,Cartesio X FI,MIXED,CONSERVATIVE_ALLOCATION,LOW,0.93,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,20,80,0,0,100.0000,0.1,0,OK
ES0116848005,Global Allocation R FI,MIXED,FLEXIBLE_ALLOCATION,HIGH,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0118537002,Olea Neutral FI,MIXED,MODERATE_ALLOCATION,MEDIUM,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0.82,0,OK
ES0124880032,UBS Renta Fija 0-5 B FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.989315,0,0.010685,1.0000,0,100,0,0,100.0000,0.39,1,BLOCKER
ES0125240038,Trea Renta Fija Ahorro S FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.9103,0.0839,0.0058,1.0000,0,100,0,0,100.0000,0.38,1,BLOCKER
ES0125323008,Gestión Value A FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.5765,0,0.0582,0.3653,1.0000,100,0,0,0,100.0000,0.87,1,BLOCKER
ES0126542036,Amundi Corto Plazo A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0126547035,UBS Duración 0-2 B FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0127097030,Dux Rentinver Renta Fija FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0127795005,EDM Renta R FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0128067008,Dux Mixto Variable FI,MIXED,MODERATE_ALLOCATION,MEDIUM,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0131462022,Gestion Boutique V Robotics R FI,MIXED,FLEXIBLE_ALLOCATION,HIGH,0.88,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0.34,0,OK
ES0133593030,"EUROBOLSA SELECCION SICAV, SA",EQUITY,EUROPE_EQUITY,HIGH,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,100,0,0,0,100.0000,0.98,1,MEDIUM
ES0137381036,Gesconsult Renta Variable Iberia A FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9331,0.0549,0.012,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0138217031,Gesconsult Renta Fija Flexible A FI,fixed_income,CORPORATE_BOND,LOW,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.095,0.8456,0.0593,0,0.9999,20,80,0,0,100.0000,1.41,2,BLOCKER
ES0138911039,Gesconsult Renta Variable Eurozona FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9703,0.018,0.0117,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0138914033,Merch-Fontemar FI,allocation,FLEXIBLE_ALLOCATION,LOW,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.2454,0.6898,0,0.0649,1.0001,20,80,0,0,100.0000,1.22,2,BLOCKER
ES0138922002,Gesconsult Horizonte 2025 FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.8908,0.1092,0,1.0000,0,100,0,0,100.0000,0,1,BLOCKER
ES0138922036,Gesconsult Corto Plazo A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0.46,0,OK
ES0138930005,Fonvalcem B FI,MIXED,AGGRESSIVE_ALLOCATION,HIGH,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,80,20,0,0,100.0000,1.27,1,MEDIUM
ES0138936036,Fondibas FI,allocation,FLEXIBLE_ALLOCATION,LOW,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.1889,0.7684,0.0427,0,1.0000,20,80,0,0,100.0000,1.72,2,BLOCKER
ES0140643034,GVC Gaesco Europa FI,equity,EUROPE_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9931,0,0.0069,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0140986011,Gesconsult Oportunidad Renta Fija A FI,fixed_income,CORPORATE_BOND,LOW,0.75,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.8335,0.0386,0.1279,1.0000,0,100,0,0,100.0000,0.59,1,BLOCKER
ES0141113037,GVC Gaesco Japón A FI,equity,JAPAN_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9641,0,0.0359,0,1.0000,100,0,0,0,100.0000,1.35,2,BLOCKER
