isin;name;current_retrocession;new_retrocession;delta;action;status;review_required;reason;source;as_of_date;notes
BE0946564383;DPAM B - Equities NewGems Sustainable B Cap;0;0.79;0.79;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7900 >= 0.5;bank;2026-05-08;
BE0947853660;DPAM B - Equities US Dividend Sustainable B EUR Cap;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
BE6213829094;DPAM B - Real Estate Europe Dividend Sustainable B Cap;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
DE000A0X7541;Acatis Value Event Fonds A;0.59;0.59;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
IE00B87MS887;Liontrust GF Special Situations Fund A1 Acc EUR;0.95;0.95;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
IE00BYVJR916;Jupiter Gold & Silver Fund L EUR Acc;0.83;0.83;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0105001004;;;0.3;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0112611001;;;0;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0114633003;Panda Agriculture & Water Fund FI;0.95;0.95;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0116419005;Cartera Renta Fija Horizonte 2026 FI;0.52;0.52;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0116567035;Cartesio X FI;0.1;0.1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0116831001;;;0.16;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0118537002;Olea Neutral FI;0.82;0.82;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0125240038;Trea Renta Fija Ahorro S FI;0.38;0.38;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0125323008;Gestión Value A FI;0.87;0.87;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0131462022;Gestion Boutique V Robotics R FI;0.34;0.34;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0133593030;"EUROBOLSA SELECCION SICAV, SA";0.98;0.98;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0137381036;Gesconsult Renta Variable Iberia A FI;0;1.35;1.35;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.3500 >= 0.5;bank;2026-05-08;
ES0138217031;Gesconsult Renta Fija Flexible A FI;1.41;1.41;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0138328036;;;0;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0138612033;;;0.38;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0138614039;;;0;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0138800034;;;0;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0138914033;Merch-Fontemar FI;1.22;1.22;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0138922036;Gesconsult Corto Plazo A FI;0.46;0.71;0.25;REVIEW;LARGE_CHANGE_REVIEW;true;relative change 54.35% >= 50%;bank;2026-05-08;
ES0138930005;Fonvalcem B FI;1.27;1.27;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0138936036;Fondibas FI;1.72;1.72;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0140643034;GVC Gaesco Europa FI;0;1.35;1.35;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.3500 >= 0.5;bank;2026-05-08;
ES0140986011;Gesconsult Oportunidad Renta Fija A FI;0.59;0.59;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0141113003;;;0.89;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0141113037;GVC Gaesco Japón A FI;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0141116030;Hamco Global Value Fund R FI;0.34;0.34;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0141580037;SIH Ahorro A FI;0.47;0.47;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0141991002;Gestión Talento FI;1.11;1.11;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0142167032;SIH Renta Fija A FI;1.12;1.12;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0159031030;;;0;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0159259011;Magallanes European Equity M FI;0;0;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0161937034;;;0;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
ES0161992005;SIH Capital FI;1.37;1.37;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
ES0162295002;Cartera Renta Fija Horizonte 2027 FI;0.52;0.52;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
