audit_id,generated_at_utc,doc_id,isin,name,source_flag,confidence,decision_reason,scale_bucket,raw_sum,normalized_sum_x100,computed_normalized_sum_x100,equity_raw,fixed_income_raw,cash_raw,other_raw,equity_x100,fixed_income_x100,cash_x100,other_x100,x100_sum_in_95_105,raw_sum_in_0_95_1_05,parse_error,classification_asset_type,classification_asset_subtype,derived_asset_class,sem0_effective_equity_pct,sem0_effective_fixed_income_pct,sem0_effective_cash_pct,sem0_effective_other_pct,sem0_evidence
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,BE0946564383,BE0946564383,DPAM B - Equities NewGems Sustainable B Cap,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.998,0.0,0.002,0.0,99.8,0.0,0.2,0.0,True,True,,equity,THEMATIC_EQUITY,RV,99.8,0.0,0.2,0.0,"raw_sum=1; raw_components={""cash"": 0.002, ""equity"": 0.998, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,BE0947853660,BE0947853660,DPAM B - Equities US Dividend Sustainable B EUR Cap,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.9859,0.0,0.0141,0.0,98.59,0.0,1.41,0.0,True,True,,equity,THEMATIC_EQUITY,RV,98.59,0.0,1.41,0.0,"raw_sum=1; raw_components={""cash"": 0.0141, ""equity"": 0.9859, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,DE0008490962,DE0008490962,DWS Deutschland LC,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.9637,0.0,0.0363,0.0,96.37,0.0,3.63,0.0,True,True,,equity,GLOBAL_EQUITY,RV,96.37,0.0,3.63,0.0,"raw_sum=1; raw_components={""cash"": 0.0363, ""equity"": 0.9637, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,ES0112231016,ES0112231016,Avantage Fund B FI,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.7453,0.2286,0.0261,0.0,74.53,22.86,2.61,0.0,True,True,,allocation,FLEXIBLE_ALLOCATION,Mixto,74.53,22.86,2.61,0.0,"raw_sum=1; raw_components={""cash"": 0.0261, ""equity"": 0.7453, ""fixed_income"": 0.2286, ""other"": 0.0}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,ES0112602000,ES0112602000,Azvalor Managers FI,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,0.9999,99.99,99.99,0.8533,0.0,0.1382,0.0084,85.33,0.0,13.82,0.84,True,True,,equity,GLOBAL_EQUITY,RV,85.33,0.0,13.82,0.84,"raw_sum=0.9999; raw_components={""cash"": 0.1382, ""equity"": 0.8533, ""fixed_income"": 0.0, ""other"": 0.0084}; normalized_sum=99.99"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,ES0114633003,ES0114633003,Panda Agriculture & Water Fund FI,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.9195,0.0,0.0805,0.0,91.95,0.0,8.05,0.0,True,True,,equity,THEMATIC_EQUITY,RV,91.95,0.0,8.05,0.0,"raw_sum=1; raw_components={""cash"": 0.0805, ""equity"": 0.9195, ""fixed_income"": 0.0, ""other"": 0.0}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,ES0116419005,ES0116419005,Cartera Renta Fija Horizonte 2026 FI,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.0,0.7391,0.2407,0.0202,0.0,73.91,24.07,2.02,True,True,,fixed_income,CORPORATE_BOND,RF,0.0,73.91,24.07,2.02,"raw_sum=1; raw_components={""cash"": 0.2407, ""equity"": 0.0, ""fixed_income"": 0.7391, ""other"": 0.0202}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,ES0124880032,ES0124880032,UBS Renta Fija 0-5 B FI,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.0,0.989315,0.0,0.010685,0.0,98.9315,0.0,1.0685,True,True,,fixed_income,CORPORATE_BOND,RF,0.0,98.9315,0.0,1.0685,"raw_sum=1; raw_components={""cash"": 0.0, ""equity"": 0.0, ""fixed_income"": 0.989315, ""other"": 0.010685}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,ES0125240038,ES0125240038,Trea Renta Fija Ahorro S FI,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.0,0.9103,0.0839,0.0058,0.0,91.03,8.39,0.58,True,True,,fixed_income,CORPORATE_BOND,RF,0.0,91.03,8.39,0.58,"raw_sum=1; raw_components={""cash"": 0.0839, ""equity"": 0.0, ""fixed_income"": 0.9103, ""other"": 0.0058}; normalized_sum=100"
BDB-SEM-1,2026-05-07T04:31:46.263559+00:00,ES0125323008,ES0125323008,Gestión Value A FI,ASSET_MIX_SCALE_0_1_SUSPECTED,HIGH_CONFIDENCE_SCALE_FIX,raw_sum_0_1_and_x100_sum_valid,scale_0_1,1.0,100.0,100.0,0.5765,0.0,0.0582,0.3653,57.65,0.0,5.82,36.53,True,True,,equity,GLOBAL_EQUITY,RV,57.65,0.0,5.82,36.53,"raw_sum=1; raw_components={""cash"": 0.0582, ""equity"": 0.5765, ""fixed_income"": 0.0, ""other"": 0.3653}; normalized_sum=100"
