isin,name,review_group,review_priority,asset_type,asset_subtype,region_primary,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,risk_bucket,is_suitable_low_risk,classification_confidence,exposure_confidence,warnings,audit_flags,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
ES0133593030,"EUROBOLSA SELECCION SICAV, SA",ALL_CONFLICTS,100,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.45,0.45,,LOW_CONFIDENCE | MISSING_REGION_PRIMARY | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,,0.0,0.0,0.0,0.0
IE00BYX5P602,Fidelity MSCI World Index Fund EUR P Acc (Hedged),ALL_CONFLICTS,100,UNKNOWN,UNKNOWN,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.48,0.45,,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,-,0.0,0.0,0.0,0.0
LU1254412460,abrdn SICAV I - Indian Bond Fund A Acc EUR,ALL_CONFLICTS,73,FIXED_INCOME,UNKNOWN,EMERGING,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,LONG,LOW,True,0.9124,0.45,FI_UNKNOWN_SUBTYPE,EMERGING_LOW_RISK_CONFLICT | UNKNOWN_SUBTYPE,RF,RF Otros,0.0,100.0,0.0,0.0
IE00BD4GTQ32,FTGF ClearBridge Infrastructure Value Fund Class A Euro Accumulating,ALL_CONFLICTS,28,EQUITY,UNKNOWN,UNKNOWN,LARGE_VALUE,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.45,HEURISTIC_STYLE_DEDUCTION,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RV,RV Sector Infraestructura,100.0,0.0,0.0,0.0
IE00BMW2TK08,Lazard Global Convertibles Recovery Fund BP Acc EUR Hedged,ALL_CONFLICTS,16,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU0203937692,UBS (Lux) Bond SICAV - Convert Global (EUR) P-acc,ALL_CONFLICTS,16,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR,0.0,100.0,0.0,0.0
LU0501220429,Global Evolution Funds Frontier Markets R EUR,ALL_CONFLICTS,16,FIXED_INCOME,EMERGING_MARKETS_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU0571100824,Groupama Europe Convertible NC,ALL_CONFLICTS,16,FIXED_INCOME,CONVERTIBLE_BOND,EUROPE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Europa,0.0,100.0,0.0,0.0
LU0607225447,CT (Lux) Global Convertible Bond Fund A Acc EUR Hdg,ALL_CONFLICTS,16,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU0823394852,BNP Paribas Funds Global Convertible Classic RH EUR Capitalisation,ALL_CONFLICTS,16,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
