isin,name,review_group,review_priority,asset_type,asset_subtype,region_primary,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,risk_bucket,is_suitable_low_risk,classification_confidence,exposure_confidence,warnings,audit_flags,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
ES0162333035,Merchrenta FI,LOW_RISK_BLOCKED,59,FIXED_INCOME,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.797,0.55,FI_UNKNOWN_SUBTYPE | FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,EXCESSIVE_WARNINGS | FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | UNKNOWN_SUBTYPE,RF,RF Otros,0.0,100.0,0.0,0.0
LU0208853944,JPMorgan Funds - Global Natural Resources Fund D (acc) - EUR,REGION_PRIMARY_BORDERLINE,26,COMMODITIES,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.55,REGION_PRIMARY_BORDERLINE | COMMODITIES_RECLASSIFIED_FROM_EQUITY,UNKNOWN_SUBTYPE,RV,RV Sector Recursos Naturales,0.0,0.0,0.0,100.0
IE00B53H0P79,PIMCO GIS Global Advantage Fund E Class EUR (Partially Hedged) Accumulation,LOW_RISK_ALLOWED,23,FIXED_INCOME,UNKNOWN,GLOBAL,UNKNOWN,UNKNOWN,HIGH_QUALITY,MEDIUM,LOW,True,0.9048,0.55,FI_UNKNOWN_SUBTYPE,UNKNOWN_SUBTYPE,RF,RF Global,0.0,100.0,0.0,0.0
LU0077500055,Candriam Bonds Euro Long Term Class C EUR Cap,LOW_RISK_ALLOWED,23,FIXED_INCOME,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,LONG,LOW,True,0.8848,0.55,FI_UNKNOWN_SUBTYPE,UNKNOWN_SUBTYPE,RF,RF Largo Plazo EUR,0.0,100.0,0.0,0.0
LU1254412460,abrdn SICAV I - Indian Bond Fund A Acc EUR,LOW_RISK_BLOCKED,23,FIXED_INCOME,UNKNOWN,EMERGING,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,LONG,LOW,False,0.9124,0.55,FI_UNKNOWN_SUBTYPE,UNKNOWN_SUBTYPE,RF,RF Otros,0.0,100.0,0.0,0.0
FR0010794792,Candriam Diversified Futures Classique,REGION_PRIMARY_BORDERLINE,23,ALTERNATIVE,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,False,0.912,0.55,REGION_PRIMARY_BORDERLINE,UNKNOWN_SUBTYPE,Otros,Alt - Systematic Futures,0.0,0.0,0.0,100.0
LU0264738294,Janus Henderson Horizon Global Property Equities Fund A2 EUR,REGION_PRIMARY_BORDERLINE,23,REAL_ESTATE,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,False,0.912,0.55,REGION_PRIMARY_BORDERLINE,UNKNOWN_SUBTYPE,Otros,Inmobiliario - Indirecto Global,0.0,0.0,0.0,100.0
LU0273148055,DWS Invest Gold and Precious Metals Equities NC,REGION_PRIMARY_BORDERLINE,23,COMMODITIES,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,False,0.912,0.55,REGION_PRIMARY_BORDERLINE,UNKNOWN_SUBTYPE,Otros,RV Sector Oro y Metales preciosos,0.0,0.0,0.0,100.0
LU0496368142,Franklin Gold & Precious Metals Fund A(acc)EUR-H1,REGION_PRIMARY_BORDERLINE,23,COMMODITIES,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,False,0.912,0.55,REGION_PRIMARY_BORDERLINE,UNKNOWN_SUBTYPE,Otros,RV Sector Otros,0.0,0.0,0.0,100.0
LU0496369389,Franklin Gold & Precious Metals Fund N(acc)EUR,REGION_PRIMARY_BORDERLINE,23,COMMODITIES,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,False,0.912,0.55,REGION_PRIMARY_BORDERLINE,UNKNOWN_SUBTYPE,Otros,RV Sector Oro y Metales preciosos,0.0,0.0,0.0,100.0
FI0008804463,Evli Euro Liquidity B,LOW_RISK_ALLOWED,20,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.55,,UNKNOWN_SUBTYPE,RF,RF Ultra Corto Plazo EUR,0.0,0.0,100.0,0.0
FR0000989626,Groupama Trésorerie IC,LOW_RISK_ALLOWED,20,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.55,,UNKNOWN_SUBTYPE,Otros,Mercado Monetario Estable EUR,0.0,0.0,100.0,0.0
LU0093583077,Candriam Money Market Euro C Acc EUR,LOW_RISK_ALLOWED,20,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.55,,UNKNOWN_SUBTYPE,Otros,Mercado Monetario Estable EUR,0.0,0.0,100.0,0.0
LU0252500524,JPMorgan Funds - EUR Money Market VNAV Fund D (acc) - EUR,LOW_RISK_ALLOWED,20,MONETARY,UNKNOWN,EUROZONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.98,0.55,,UNKNOWN_SUBTYPE,Monetario,EUR Money Market - Short Term,0.0,0.0,100.0,0.0
LU0568620560,Amundi Funds - Cash EUR A2 EUR (C),LOW_RISK_ALLOWED,20,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.55,,UNKNOWN_SUBTYPE,Otros,Mercado Monetario Estable EUR,0.0,0.0,100.0,0.0
LU0568620727,Amundi Funds - Cash EUR G2 EUR (C),LOW_RISK_ALLOWED,20,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.55,,UNKNOWN_SUBTYPE,Otros,Mercado Monetario Estable EUR,0.0,0.0,100.0,0.0
LU1873127366,JPMorgan Liquidity Funds - EUR Liquidity LVNAV Fund A (acc.),LOW_RISK_ALLOWED,20,MONETARY,UNKNOWN,EUROZONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.98,0.55,,UNKNOWN_SUBTYPE,Monetario,EUR Money Market - Short Term,0.0,0.0,100.0,0.0
LU0501220429,Global Evolution Funds Frontier Markets R EUR,AMBIGUOUS_OR_CONFLICT,16,FIXED_INCOME,EMERGING_MARKETS_BOND,EMERGING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.55,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1161086159,Amundi Funds - Emerging Markets Blended Bond A EUR (C),AMBIGUOUS_OR_CONFLICT,16,FIXED_INCOME,EMERGING_MARKETS_BOND,EMERGING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.55,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
ES0140986011,Gesconsult Oportunidad Renta Fija A FI,LOW_RISK_BLOCKED,16,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.8963,0.55,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,Otros,,0.0,100.0,0.0,0.0
IE00BMW2TK08,Lazard Global Convertibles Recovery Fund BP Acc EUR Hedged,AMBIGUOUS_OR_CONFLICT,10,FIXED_INCOME,CONVERTIBLE_BOND,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.97,0.55,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU0203937692,UBS (Lux) Bond SICAV - Convert Global (EUR) P-acc,AMBIGUOUS_OR_CONFLICT,10,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.97,0.55,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU0571100824,Groupama Europe Convertible NC,AMBIGUOUS_OR_CONFLICT,10,FIXED_INCOME,CONVERTIBLE_BOND,EUROPE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.97,0.55,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Europa,0.0,100.0,0.0,0.0
LU0607225447,CT (Lux) Global Convertible Bond Fund A Acc EUR Hdg,AMBIGUOUS_OR_CONFLICT,10,FIXED_INCOME,CONVERTIBLE_BOND,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.97,0.55,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU0823394852,BNP Paribas Funds Global Convertible Classic RH EUR Capitalisation,AMBIGUOUS_OR_CONFLICT,10,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.97,0.55,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU1670708764,M&G (Lux) Global Convertibles Fund EUR B Acc,AMBIGUOUS_OR_CONFLICT,10,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.97,0.55,,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global,0.0,100.0,0.0,0.0
