nombre;isin ;retrocesion
AB AMERICAN GROWTH A ACC EUR;LU0232524495;0,80%
AB Mortgage Income Portfolio;LU1021288268;0,50%
Abante Spanish Opportunities B Acc;LU0861897477;0,93%
ACATIS GANE VALUE EVENT FONDS CL A;DE000A0X7541;0,59%
Alken European Opportunities A Acc EUR;LU0524465977;1,00%
Alken Fund - European Opportunities Class R;LU0235308482;0,00%
Alken Fund - Small Cap Europe Class A;LU0524465548;1,00%
Alken Fund Small Cap Europe;LU0524465548;1,00%
ALLIANZ EUROPE EQUITY GROWTH SEL CT EUR;LU0256839860;1,44%
Allianz Global Investors Fund - Allianz GEM Equity High;LU0293313671;1,60%
Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT EUR;LU1548497699;0,88%
Amundi FDS Cash EUR;LU0568620727;0,22%
Andbank Megatrends;ES0184949008;1,20%
ASIA EX JAPAN EQ R ACC EUR;IE00B88WFS66;0,76%
ASIAN SMALLER COMPA ACC EUR;LU0702159772;0,75%
AZVALOR INTERNACIONAL FI;ES0112611001;0,00%
B&H Bonds LU;LU2278574988;0,96%
B&H Equity LU;LU2278574558;0,99%
B&H Flexible LU;LU2278574715;0,80%
BANKIA BOLSA USA FI;ES0161937034;0,00%
BANKIA EURO TOP IDEAS FI;ES0159031030;0,00%
BANKIA SMALL MID CAPS ESPAÑA;ES0138800034;0,00%
BARING ASEAN FRONTIERS A DIS EUR;IE0004868828;0,62%
BB MEDTECH B ACC EUR;LU0415391431;0,80%
BGF CONTINENTAL EUROPEAN FLEX A2 ACC EUR;LU0224105477;0,84%
BGF EMERGING MARKETS A2 AC EUR;LU0171275786;0,90%
BGF ESG MASSET E2 ACC EUR;LU0093503737;0,97%
BGF EURO CORP BOND A1 DIS EUR;LU0162660350;0,50%
BGF EURO HY FIXED MTTY 2027 A2;LU2697545163;0,00%
BGF EURO INV GRD FIX M 2028 A2;LU2697545247;0,00%
BGF EUROPEAN EQ INC E2 ACC EUR;LU0628612748;1,14%
BGF FINTECH FUND E2 ACC EUR;LU1917163617;1,12%
BlackRock Global Funds - Continental European Flexible Fund E2;LU0224105980;1,14%
