isin,name,asset_type,asset_subtype,region_primary,risk_bucket,classification_confidence,exposure_confidence,warnings,audit_flags,is_suitable_low_risk,is_sector_fund,sector_focus,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
BE0943877671,DPAM B - Bonds Eur Government B Cap,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Deuda Pública EUR,0.0,100.0,0.0,0.0
BE0947853660,DPAM B - Equities US Dividend Sustainable B EUR Cap,UNKNOWN,UNKNOWN,US,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,Morningstar US High Dividend Yield NR USD,0.0,0.0,0.0,0.0
BE6213829094,DPAM B - Real Estate Europe Dividend Sustainable B Cap,UNKNOWN,UNKNOWN,EUROPE,MEDIUM,0.95,0.4,,UNKNOWN_ASSET_TYPE,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,Inmobiliario - Indirecto Europa,0.0,0.0,0.0,0.0
ES0111166031,Atl Capital Corto Plazo A FI,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0116419005,Cartera Renta Fija Horizonte 2026 FI,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Otros,Fixed Term Bond,0.0,100.0,0.0,0.0
ES0124880032,UBS Renta Fija 0-5 B FI,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Diversificada Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0125240038,Trea Renta Fija Ahorro S FI,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Diversificada Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0126542036,Amundi Corto Plazo A FI,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0126547035,UBS Duración 0-2 B FI,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Diversificada Corto Plazo EUR,0.0,100.0,0.0,0.0
ES0127097030,Dux Rentinver Renta Fija FI,FIXED_INCOME,UNKNOWN,UNKNOWN,LOW,0.95,0.4,,UNKNOWN_SUBTYPE; MISSING_REGION_PRIMARY; FI_WITHOUT_DURATION; FI_WITHOUT_CREDIT,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,RF,RF Diversificada EUR,0.0,100.0,0.0,0.0
