isin,name,review_group,review_priority,asset_type,asset_subtype,region_primary,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,risk_bucket,is_suitable_low_risk,classification_confidence,exposure_confidence,warnings,audit_flags,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
ES0133593030,"EUROBOLSA SELECCION SICAV, SA",ALL_CONFLICTS,100,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.45,0.45,,LOW_CONFIDENCE | MISSING_REGION_PRIMARY | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,,0.0,0.0,0.0,0.0
IE00BYX5P602,Fidelity MSCI World Index Fund EUR P Acc (Hedged),ALL_CONFLICTS,100,UNKNOWN,UNKNOWN,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.48,0.45,,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,-,0.0,0.0,0.0,0.0
LU0251119078,Fidelity Funds - Fidelity Target™ 2035 Fund A-Acc-EUR,ALL_CONFLICTS,100,UNKNOWN,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.46,0.45,,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,Fecha Objetivo 2031-2035,0.0,0.0,0.0,0.0
LU0251131362,Fidelity Funds - Fidelity Target™ 2030 Fund A-Acc-EUR,ALL_CONFLICTS,100,UNKNOWN,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.432,0.45,REGION_PRIMARY_BORDERLINE,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,Fecha Objetivo 2026-2030,0.0,0.0,0.0,0.0
LU1254412460,abrdn SICAV I - Indian Bond Fund A Acc EUR,ALL_CONFLICTS,73,FIXED_INCOME,UNKNOWN,EMERGING,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,LONG,LOW,True,0.9124,0.45,FI_UNKNOWN_SUBTYPE,EMERGING_LOW_RISK_CONFLICT | UNKNOWN_SUBTYPE,RF,RF Otros,0.0,100.0,0.0,0.0
IE00BD4GTQ32,FTGF ClearBridge Infrastructure Value Fund Class A Euro Accumulating,ALL_CONFLICTS,28,EQUITY,UNKNOWN,UNKNOWN,LARGE_VALUE,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.9024,0.45,HEURISTIC_STYLE_DEDUCTION,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RV,RV Sector Infraestructura,100.0,0.0,0.0,0.0
FI0008804463,Evli Euro Liquidity B,ALL_CONFLICTS,25,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.45,,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RF,RF Ultra Corto Plazo EUR,0.0,0.0,100.0,0.0
FR0000989626,Groupama Trésorerie IC,ALL_CONFLICTS,25,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.45,,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,Otros,Mercado Monetario Estable EUR,0.0,0.0,100.0,0.0
FR0011170182,Ofi Invest Precious Metals R,ALL_CONFLICTS,25,COMMODITIES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH,False,0.95,0.45,,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,Otros,Materias Primas - Metales Preciosos,0.0,0.0,0.0,100.0
LU0093583077,Candriam Money Market Euro C Acc EUR,ALL_CONFLICTS,25,MONETARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,True,0.95,0.45,,MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,Otros,Mercado Monetario Estable EUR,0.0,0.0,100.0,0.0
