isin,name
BE0943877671,"DPAM B - Bonds Eur Government B Cap"
BE0946564383,"DPAM B - Equities NewGems Sustainable B Cap"
BE0947853660,"DPAM B - Equities US Dividend Sustainable B EUR Cap"
BE6213829094,"DPAM B - Real Estate Europe Dividend Sustainable B Cap"
DE0005318406,"DWS ESG Stiftungsfonds LD"
DE0008490962,"DWS Deutschland LC"
DE000A0X7541,"Acatis Value Event Fonds A"
DE000DWS17J0,"DWS ESG Dynamic Opportunities LC"
ES0110407006,"Gestión Boutique VI Argos FI"
ES0111166031,"Atl Capital Corto Plazo A FI"
ES0112231016,"Avantage Fund B FI"
ES0112602000,"Azvalor Managers FI"
ES0114633003,"Panda Agriculture & Water Fund FI"
ES0114904008,"Brightgate Focus A FI"
ES0116419005,"Cartera Renta Fija Horizonte 2026 FI"
ES0116567035,"Cartesio X FI"
ES0116848005,"Global Allocation R FI"
ES0118537002,"Olea Neutral FI"
ES0124880032,"UBS Renta Fija 0-5 B FI"
ES0125240038,"Trea Renta Fija Ahorro S FI"
ES0125323008,"Gestión Value A FI"
ES0126542036,"Amundi Corto Plazo A FI"
ES0126547035,"UBS Duración 0-2 B FI"
ES0127097030,"Dux Rentinver Renta Fija FI"
ES0127795005,"EDM Renta R FI"
ES0128067008,"Dux Mixto Variable FI"
ES0131462022,"Gestion Boutique V Robotics R FI"
ES0133593030,"EUROBOLSA SELECCION SICAV, SA"
ES0137381036,"Gesconsult Renta Variable Iberia A FI"
ES0138217031,"Gesconsult Renta Fija Flexible A FI"
ES0138911039,"Gesconsult Renta Variable Eurozona FI"
ES0138914033,"Merch-Fontemar FI"
ES0138922002,"Gesconsult Horizonte 2025 FI"
ES0138922036,"Gesconsult Corto Plazo A FI"
ES0138930005,"Fonvalcem B FI"
ES0138936036,"Fondibas FI"
ES0140643034,"GVC Gaesco Europa FI"
ES0140986011,"Gesconsult Oportunidad Renta Fija A FI"
ES0141113037,"GVC Gaesco Japón A FI"
ES0141116030,"Hamco Global Value Fund R FI"
ES0141580037,"SIH Ahorro A FI"
ES0141991002,"Gestión Talento FI"
ES0142046038,"Gesem Agresivo Flexible FI"
ES0142167032,"SIH Renta Fija A FI"
ES0146309002,"Horos Value Internacional FI"
ES0148181003,"Indexa RV mixta internacional 75 FI"
ES0155142005,"Intermoney Variable Euro A FI"
ES0155598008,"UBS Corto Plazo A FI"
ES0155598032,"UBS Corto Plazo B FI"
ES0156873004,"A&G Renta Fija Corto Plazo FI"
ES0158600033,"SIH Flex Global FI"
ES0159201013,"Magallanes Iberian Equity M FI"
ES0159259011,"Magallanes European Equity M FI"
ES0160873008,"March Pagarés A FI"
ES0161032034,"March Renta Fija Corto Plazo A FI"
ES0161992005,"SIH Capital FI"
ES0162211033,"Merch-Eurounión FI"
ES0162295002,"Cartera Renta Fija Horizonte 2027 FI"
ES0162296000,"Cartera Renta Fija Horizonte 2028 FI"
ES0162305033,"Merch-Oportunidades FI"
ES0162332037,"Merchfondo FI"
ES0162333035,"Merchrenta FI"
ES0162368007,"Metavalor Internacional I FI"
ES0162946034,"Abante Selección FI"
ES0162949012,"Abante Índice Selección A FI"
ES0165142003,"Mutuafondo Corto Plazo D FI"
ES0165142037,"Mutuafondo Corto Plazo A FI"
ES0165237001,"Mutuafondo D FI"
ES0165242001,"Myinvestor S&P500 Equiponderado FI"
ES0165243025,"Myinvestor Value C FI"
ES0167238023,"Estela Global Equities R FI"
ES0168662031,"Trea Renta Fija FI"
ES0168673038,"EDM Ahorro R FI"
ES0168797092,"Gestión Boutique II JPB Growth FI"
ES0168799056,"Gestión Boutique IV Alclam US Equities FI"
ES0170138038,"Santalucía Renta Fija B FI"
ES0170141008,"Santalucía Quality Acciones Europeas B FI"
ES0170156030,"Santalucía Renta Fija Corto Plazo Euro B FI"
ES0170865002,"SIH Healthcare A FI"
ES0173323009,"Renta 4 Wertefinder FI"
ES0175316019,"Dunas Valor Flexible R FI"
ES0175414012,"Dunas Valor Equilibrado R FI"
ES0175437005,"Dunas Valor Prudente R FI"
ES0175604000,"Gesconsult León Valores Mixto Flexible B FI"
ES0175604034,"Gesconsult León Valores Mixto Flexible A FI"
ES0176954008,"Renta 4 Renta Fija R FI"
ES0182105033,"Merch-Universal FI"
ES0182631004,"Polar Renta Fija A FI"
ES0182769002,"Valentum E FI"
ES0184894006,"Myinvestor ACWI FI"
ES0184949008,"Sigma Investment House Megatrends A FI"
ES0184949016,"Sigma Investment House Megatrends B FI"
FI0008800511,"Evli Short Corporate Bond B"
FI0008801097,"Evli Corporate Bond B"
FI0008803929,"Evli European High Yield B"
FI0008804463,"Evli Euro Liquidity B"
FI0008811997,"Evli Nordic Corporate Bond B"
FR0000174310,"Lazard Small Caps Euro SRI I"
FR0000989626,"Groupama Trésorerie IC"
FR0000989899,"Oddo BHF Avenir CR-EUR"
FR0000989915,"Oddo BHF Immobilier CR-EUR"
FR0007008750,"R-co Conviction Credit Euro C EUR"
FR0010041822,"Edmond de Rothschild Patrimoine A"
FR0010148981,"Carmignac Investissement A EUR Acc"
FR0010149120,"Carmignac Sécurité AW EUR Acc"
FR0010172767,"EdR SICAV - Euro Sustainable Credit A EUR"
FR0010230490,"Lazard Credit Opportunities RC EUR"
FR0010286013,"Sextant Grand Large A"
FR0010288308,"Groupama Avenir Euro NC"
FR0010306142,"Carmignac Patrimoine E EUR Acc"
FR0010312660,"Carmignac Investissement E EUR Acc"
FR0010321810,"Echiquier Agenor SRI Mid Cap Europe A"
FR0010547869,"Sextant PME A"
FR0010722348,"Groupama Global Active Equity NC"
