ISIN;Morningstar Rating™
LU0171306680;3
LU0117859560;3
LU0128521001;3
LU0133267202;3
ES0141113037;2
IE00BMD7ZB71;3
DE0008490962;2
IE0031333341;2
ES0184949016;3
ES0141991002;3
LU0094557526;3
ES0175604000;3
ES0162368007;
LU0093503497;4
ES0184894006;3
LU0115769746;3
ES0116848005;
LU0117884675;2
FR001400NTN5;
FR0010859769;3
FR0010286013;2
LU0133264522;3
FR0014008W22;
IE00BJ7B9456;4
ES0162296000;
IE0031575271;3
ES0162295002;
ES0165142003;3
FR0010829697;3
LU0145656715;2
FR0011365212;3
ES0155598008;3
FR0010950055;3
FR0050000860;3
ES0155598032;3
ES0116419005;
LU0137009238;2
LU0093583077;
ES0170865002;3
ES0165242001;1
LU0157179127;3
BE0947853660;3
LU0121204431;3
LU0115759606;2
IE00B2NXKW18;2
IE00BDH6RQ67;1
LU0496368142;
LU1223083087;
LU0188151095;3
LU1120766388;4
LU1299311834;3
LU0321373184;1
LU0594300096;2
LU0628612748;3
LU1883340322;4
LU0592699093;3
LU0986194024;1
LU0260085492;2
LU0282719219;3
LU0404220724;2
LU1244895394;3
LU0345361124;3
LU1670708764;2
LU1391767586;3
LU1103307408;3
LU0607512935;3
LU1670724373;3
LU0712123511;3
LU0455556406;4
LU0189895229;2
LU0438336694;3
LU2697545247;
LU1022658667;3
LU1838941372;3
LU1353951376;4
LU0329430986;3
LU1442549025;2
LU0568620560;
LU0267388220;2
LU0187079347;2
LU1917163617;1
LU0554840230;2
LU0264738294;3
LU0391944815;3
LU0918140210;4
LU0920839429;1
LU1529955046;3
LU1340702932;1
LU0270905242;3
LU1254412460;
LU2295319300;1
LU0333810850;3
